name,mrp,our_price,category,subcategory,unit,discount,quantity,unit_price,product_url,sub-category,image,status,stock_count,is_dmart_exclusive,productid,brand,imageurl,isavailable,createdat,updatedat,details,processed_name,predicted_category,predicted_subcategory
Disposable Bagasse Plates - 25 cms : 15 Pieces,145.0,145.0,Bags & Accessories,bag,1 Unit,,,,,,,,,,,,,,,,,disposable bagasse plates - 25 cms : 15 pieces,Bags & Accessories,bag
Disposable Bagasse Plates - 25 cms 3 Compartments : 15 Pieces,145.0,145.0,Bags & Accessories,bag,1 Unit,,,,,,,,,,,,,,,,,disposable bagasse plates - 25 cms 3 compartments : 15 pieces,Bags & Accessories,bag
Disposable Bagasse Plates - 27.5 cms 4 Compartments : 10 Pieces,140.0,140.0,Bags & Accessories,bag,1 Unit,,,,,,,,,,,,,,,,,disposable bagasse plates - 27.5 cms 4 compartments : 10 pieces,Bags & Accessories,bag
Chuk Disposable Bagasse Plate - 12 Inches : 10 Pcs,189.0,189.0,Bags & Accessories,bag,10 pc,,,,,,,,,,,,,,,,,chuk disposable bagasse plate - 12 inches : 10 pcs,Bags & Accessories,bag
Disposable Bagasse Bowl - 180 ml : 25 Pieces,75.0,75.0,Bags & Accessories,bag,1 Unit,,,,,,,,,,,,,,,,,disposable bagasse bowl - 180 ml : 25 pieces,Bags & Accessories,bag
Chuk Disposable Bagasse Bowl - 250 ml : 25 Pcs,119.0,119.0,Bags & Accessories,bag,25 pc,,,,,,,,,,,,,,,,,chuk disposable bagasse bowl - 250 ml : 25 pcs,Bags & Accessories,bag
Bata Orthocomfit Men's Slipper M5 - Brown : Size 10,199.0,169.0,Clothing,men,,30.0,,,https://www.dmart.in/product/bata-orthocomfit-mens-slipper-m5-brown-pmenfotwr0bata39xx290724?selectedProd=1600589,,,,,,,,,,,,,bata orthocomfit men's slipper m5 - brown : size 10,Clothing,men
Bata Alex Remo Slip-On Men's Shoes AW22 - Black : Size 10,699.0,599.0,Clothing,men,,100.0,,,https://www.dmart.in/product/bata-alex-remo-slip-on-mens-shoes-aw22-black-pmenfotwr0bata57xx280524?selectedProd=1576085,,,,,,,,,,,,,bata alex remo slip-on men's shoes aw22 - black : size 10,Clothing,men
Bata Alex Remo Lace-Up Men's Shoes AW22 - Black : Size 10,699.0,599.0,Clothing,men,,100.0,,,https://www.dmart.in/product/bata-alex-remo-lace-up-mens-shoes-aw22-black-pmenfotwr0bata55xx280524?selectedProd=1576081,,,,,,,,,,,,,bata alex remo lace-up men's shoes aw22 - black : size 10,Clothing,men
Bata Orthocomfit Men's Slipper M5 - Grey : Size 11,199.0,169.0,Clothing,men,,30.0,,,https://www.dmart.in/product/bata-orthocomfit-mens-slipper-m5-grey-pmenfotwr0bata31xx290724?selectedProd=1600585,,,,,,,,,,,,,bata orthocomfit men's slipper m5 - grey : size 11,Clothing,men
Bata Orthocomfit Women's Slipper M5 - Blue : Size 8,189.0,159.0,Clothing,men,,30.0,,,https://www.dmart.in/product/bata-orthocomfit-womens-slipper-m5-blue-pgirlsslipr0bata21xx290724?selectedProd=1600581,,,,,,,,,,,,,bata orthocomfit women's slipper m5 - blue : size 8,Clothing,men
Bata Orthocomfit Women's Slipper M5 - Pink : Size 8,189.0,159.0,Lighting & Electrical,pin,,30.0,,,https://www.dmart.in/product/bata-orthocomfit-womens-slipper-m5-pink-pgirlsslipr0bata1xx290724?selectedProd=1600571,,,,,,,,,,,,,bata orthocomfit women's slipper m5 - pink : size 8,Lighting & Electrical,pin
Bata Orthocomfit Women's Slipper M5 - Black : Size 8,189.0,159.0,Clothing,men,,30.0,,,https://www.dmart.in/product/bata-orthocomfit-womens-slipper-m5-black-pgirlsslipr0bata11xx290724?selectedProd=1600576,,,,,,,,,,,,,bata orthocomfit women's slipper m5 - black : size 8,Clothing,men
Relaxo Flite Women's Chappal PUL118 - Maroon : Size 5,289.5,269.0,Clothing,men,,20.5,,,https://www.dmart.in/product/relaxo-flite-womens-chappal-pul117---maroon-pmenfotwr0flit41xx80723?selectedProd=1344031,,,,,,,,,,,,,relaxo flite women's chappal pul118 - maroon : size 5,Clothing,men
Relaxo Flite Women's Chappal PUL117 - Maroon : Size 4,269.5,250.0,Clothing,men,,19.5,,,https://www.dmart.in/product/relaxo-flite-womens-chappal-pul117---maroon-pmenfotwr0flit41xx70723?selectedProd=1344057,,,,,,,,,,,,,relaxo flite women's chappal pul117 - maroon : size 4,Clothing,men
Kiwi Leather Shoe Shine Brush : 1 Unit,75.0,67.0,Cleaning Tools,brush,,8.0,,,https://www.dmart.in/product/kiwi-shoe-brush-pinstashine0knor67xx20620?selectedProd=731416,,,,,,,,,,,,,kiwi leather shoe shine brush : 1 unit,Cleaning Tools,brush
Toyshine Junior Fast Sling Hockey Puck Board Game - Multicolour : 1 Unit,,455.0,Bags & Accessories,sling,,,,,,,,,,,,,,,,,,toyshine junior fast sling hockey puck board game - multicolour : 1 unit,Bags & Accessories,sling
Toyshine Projection Flashlight Torch For Kids 3 Slides - Multicolour : 1 Unit,,455.0,Lighting & Electrical,light,,,,,,,,,,,,,,,,,,toyshine projection flashlight torch for kids 3 slides - multicolour : 1 unit,Lighting & Electrical,light
Toyshine Educational 8.5 Inch LCD Writing Tablet Board - Multicolour : 1Unit,,455.0,Pet Supplies,cat,,,,,,,,,,,,,,,,,,toyshine educational 8.5 inch lcd writing tablet board - multicolour : 1unit,Pet Supplies,cat
Toyshine Plastic Kitchen Cooking Set Toys - Yellow : 1 Unit,,455.0,Home Decor,kitchen,,,,,,,,,,,,,,,,,,toyshine plastic kitchen cooking set toys - yellow : 1 unit,Home Decor,kitchen
Toyshine Talking Tom Cat Toy For Kids - Grey : 1 Unit,,455.0,Pet Supplies,cat,,,,,,,,,,,,,,,,,,toyshine talking tom cat toy for kids - grey : 1 unit,Pet Supplies,cat
Aditi Toys Mini Beauty Set With Case - Assorted : 1 Unit,,455.0,Personal Care & Beauty,beauty,,,,,,,,,,,,,,,,,,aditi toys mini beauty set with case - assorted : 1 unit,Personal Care & Beauty,beauty
Bokai Badminton Racket Set : 2 Pieces,,455.0,Home Utility & Organisers,rack,2 Pc,,,,,,,,,,,,,,,,,bokai badminton racket set : 2 pieces,Home Utility & Organisers,rack
Toyshine Concept Musical & 3D Lights Transparent Car - Multicolour : 1 Unit,,455.0,Lighting & Electrical,light,,,,,,,,,,,,,,,,,,toyshine concept musical & 3d lights transparent car - multicolour : 1 unit,Lighting & Electrical,light
Table Tennis Racket Set : 1 Unit,,455.0,Home Utility & Organisers,rack,,,,,,,,,,,,,,,,,,table tennis racket set : 1 unit,Home Utility & Organisers,rack
Tennis Light Ball : 1 Unit,,455.0,Lighting & Electrical,light,,,,,,,,,,,,,,,,,,tennis light ball : 1 unit,Lighting & Electrical,light
Britannia Good Day Cashew Cookies : 600 gms,150.0,,Biscuits & Cookies,cookie,600 g,,,,,,,,,,,,,,,,,britannia good day cashew cookies : 600 gms,Biscuits & Cookies,cookie
Karachi Fruit Biscuits : 400 gms,170.0,,Biscuits & Cookies,biscuit,400 g,,,,,,,,,,,,,,,,,karachi fruit biscuits : 400 gms,Biscuits & Cookies,biscuit
Sunfeast Dark Fantasy Yumfills Cake : 242 gms,170.0,,,,242 g,,,,,,,,,,,,,,,,,sunfeast dark fantasy yumfills cake : 242 gms,Uncategorized,Uncategorized
Malkist Cheese Flavoured Crunchy Layered Crackers : 138 gms,60.0,,,,138 g,,,,,,,,,,,,,,,,,malkist cheese flavoured crunchy layered crackers : 138 gms,Grocery & Food,Dairy & Eggs
Britannia Little Hearts Classic : 70 g,30.0,,,,70 g,,,,,,,,,,,,,,,,,britannia little hearts classic : 70 g,Uncategorized,Uncategorized
Britannia Good Day Chocochip Cookies : 400 gms,150.0,,Biscuits & Cookies,cookie,400 g,,,,,,,,,,,,,,,,,britannia good day chocochip cookies : 400 gms,Biscuits & Cookies,cookie
Unibic Cashew Badam Cookies : 500 gms,150.0,,Biscuits & Cookies,cookie,500 g,,,,,,,,,,,,,,,,,unibic cashew badam cookies : 500 gms,Biscuits & Cookies,cookie
Karachi Chai Biscuit : 400 gms,180.0,,Biscuits & Cookies,biscuit,400 g,,,,,,,,,,,,,,,,,karachi chai biscuit : 400 gms,Biscuits & Cookies,biscuit
Britannia Good Day Pista Badm Cookies : 600 gms,160.0,,Biscuits & Cookies,cookie,600 g,,,,,,,,,,,,,,,,,britannia good day pista badm cookies : 600 gms,Biscuits & Cookies,cookie
Malkist Chocolate Flavoured Crunchy Layered Crackers : 138 gms,60.0,,Chocolates & Candies,chocolate,138 g,,,,,,,,,,,,,,,,,malkist chocolate flavoured crunchy layered crackers : 138 gms,Chocolates & Candies,chocolate
Dukes Nice Sugar Sprinkled Coconut Biscuits : 145 gms,35.0,,Biscuits & Cookies,biscuit,145 g,,,,,,,,,,,,,,,,,dukes nice sugar sprinkled coconut biscuits : 145 gms,Biscuits & Cookies,biscuit
Unibic Snappers Potato Crackers - Cream N' Onion : 300 gms,160.0,,,,300 g,,,,,,,,,,,,,,,,,unibic snappers potato crackers - cream n' onion : 300 gms,Grocery & Food,Dairy & Eggs
Unibic Choco Nut Cookies : 500 gms,200.0,,Biscuits & Cookies,cookie,500 g,,,,,,,,,,,,,,,,,unibic choco nut cookies : 500 gms,Biscuits & Cookies,cookie
Karachi Cashew Biscuits : 400 gms,210.0,,Biscuits & Cookies,biscuit,400 g,,,,,,,,,,,,,,,,,karachi cashew biscuits : 400 gms,Biscuits & Cookies,biscuit
Unibic Kesar Cashew Badam Cookies : 200 gms,65.0,,Biscuits & Cookies,cookie,200 g,,,,,,,,,,,,,,,,,unibic kesar cashew badam cookies : 200 gms,Biscuits & Cookies,cookie
McVitie's Ginger Cookies : 120 gms,60.0,,Biscuits & Cookies,cookie,120 g,,,,,,,,,,,,,,,,,mcvitie's ginger cookies : 120 gms,Biscuits & Cookies,cookie
Foodlion Osmania Biscuits : 400 gms,130.0,,Biscuits & Cookies,biscuit,400 g,,,,,,,,,,,,,,,,,foodlion osmania biscuits : 400 gms,Biscuits & Cookies,biscuit
Malkist Cappuccino Flavoured Crunchy Layered Crackers : 144 gms,60.0,,,,144 g,,,,,,,,,,,,,,,,,malkist cappuccino flavoured crunchy layered crackers : 144 gms,Uncategorized,Uncategorized
Kanak Cafe Biscuits : 150 gms,60.0,,Biscuits & Cookies,biscuit,150 g,,,,,,,,,,,,,,,,,kanak cafe biscuits : 150 gms,Biscuits & Cookies,biscuit
RiteBite Max Protein Cookie Choco Chips : 55 gms,50.0,,Biscuits & Cookies,cookie,55 g,,,,,,,,,,,,,,,,,ritebite max protein cookie choco chips : 55 gms,Biscuits & Cookies,cookie
RiteBite Max Protein Cookie Nuts & Seeds : 55 gms,50.0,,Biscuits & Cookies,cookie,55 g,,,,,,,,,,,,,,,,,ritebite max protein cookie nuts & seeds : 55 gms,Biscuits & Cookies,cookie
RiteBite Max Protein Cookie Oats & Raisins : 55 gms,50.0,,Biscuits & Cookies,cookie,55 g,,,,,,,,,,,,,,,,,ritebite max protein cookie oats & raisins : 55 gms,Biscuits & Cookies,cookie
Avni Kaju Biscuits : 180 gms,44.0,,Biscuits & Cookies,biscuit,180 g,,,,,,,,,,,,,,,,,avni kaju biscuits : 180 gms,Biscuits & Cookies,biscuit
Parle-G Original Gluco Biscuits : 800 gms,100.0,,Biscuits & Cookies,biscuit,800 g,,,,,,,,,,,,,,,,,parle-g original gluco biscuits : 800 gms,Biscuits & Cookies,biscuit
Patanjali Doodh Biscuits : 800 gms,125.0,,Biscuits & Cookies,biscuit,800 g,,,,,,,,,,,,,,,,,patanjali doodh biscuits : 800 gms,Biscuits & Cookies,biscuit
Britannia Milk Bikis Biscuits : 500 gms,90.0,,Biscuits & Cookies,biscuit,500 g,,,,,,,,,,,,,,,,,britannia milk bikis biscuits : 500 gms,Biscuits & Cookies,biscuit
Britannia Milk Bikis Biscuits : 200 gms,55.0,,Biscuits & Cookies,biscuit,200 g,,,,,,,,,,,,,,,,,britannia milk bikis biscuits : 200 gms,Biscuits & Cookies,biscuit
Britannia Marie Gold Biscuits : 950 gms,160.0,,Biscuits & Cookies,biscuit,950 g,,,,,,,,,,,,,,,,,britannia marie gold biscuits : 950 gms,Biscuits & Cookies,biscuit
Sunfeast Marie Light Biscuit : 1 kg,150.0,,Biscuits & Cookies,biscuit,1 kg,,,,,,,,,,,,,,,,,sunfeast marie light biscuit : 1 kg,Biscuits & Cookies,biscuit
Dukes Cracker Salted Biscuits : 150 gms,60.0,,Biscuits & Cookies,biscuit,150 g,,,,,,,,,,,,,,,,,dukes cracker salted biscuits : 150 gms,Biscuits & Cookies,biscuit
Britannia 50-50 Sweet & Salty Biscuits : 188 gms,40.0,,Biscuits & Cookies,biscuit,188 g,,,,,,,,,,,,,,,,,britannia 50-50 sweet & salty biscuits : 188 gms,Biscuits & Cookies,biscuit
Lotte Choco Pie : 504 gms,220.0,,,,504 g,,,,,,,,,,,,,,,,,lotte choco pie : 504 gms,Uncategorized,Uncategorized
Sunfeast Dark Fantasy Choco Fills Cookies : 471.5 g,350.0,,Biscuits & Cookies,cookie,5 g,,,,,,,,,,,,,,,,,sunfeast dark fantasy choco fills cookies : 471.5 g,Biscuits & Cookies,cookie
Bisky Bites Bourbon Sandwich Biscuits : 500 gms,110.0,,Biscuits & Cookies,biscuit,500 g,,,,,,,,,,,,,,,,,bisky bites bourbon sandwich biscuits : 500 gms,Biscuits & Cookies,biscuit
Britannia Jim Jam Cream Biscuits : 138 gms,40.0,,Biscuits & Cookies,biscuit,138 g,,,,,,,,,,,,,,,,,britannia jim jam cream biscuits : 138 gms,Biscuits & Cookies,biscuit
Bisky Bites Bourbon Sandwich Biscuits : 150 gms,36.0,,Biscuits & Cookies,biscuit,150 g,,,,,,,,,,,,,,,,,bisky bites bourbon sandwich biscuits : 150 gms,Biscuits & Cookies,biscuit
Bisky Bites Vanilla Magic Sandwich Biscuits : 300 gms,92.0,,Biscuits & Cookies,biscuit,300 g,,,,,,,,,,,,,,,,,bisky bites vanilla magic sandwich biscuits : 300 gms,Biscuits & Cookies,biscuit
Sunfeast Dark Fantasy Bourbon Biscuits : 111.6 gm,35.0,,Biscuits & Cookies,biscuit,6 g,,,,,,,,,,,,,,,,,sunfeast dark fantasy bourbon biscuits : 111.6 gm,Biscuits & Cookies,biscuit
Sunfeast Dark Fantasy Choco Creme Biscuits : 83 g,35.0,,Biscuits & Cookies,biscuit,83 g,,,,,,,,,,,,,,,,,sunfeast dark fantasy choco creme biscuits : 83 g,Biscuits & Cookies,biscuit
Sunfeast Dark Fantasy Vanilla Creme Biscuits : 83 g,35.0,,Biscuits & Cookies,biscuit,83 g,,,,,,,,,,,,,,,,,sunfeast dark fantasy vanilla creme biscuits : 83 g,Biscuits & Cookies,biscuit
Cadbury Chocobakes Choc-Filled Cookies : 276 g,180.0,,Biscuits & Cookies,cookie,276 g,,,,,,,,,,,,,,,,,cadbury chocobakes choc-filled cookies : 276 g,Biscuits & Cookies,cookie
Bisky Bites Chocolate Blast Sandwich Biscuits : 300 gms,92.0,,Biscuits & Cookies,biscuit,300 g,,,,,,,,,,,,,,,,,bisky bites chocolate blast sandwich biscuits : 300 gms,Biscuits & Cookies,biscuit
Bisky Bites Vanilla Magic Sandwich Biscuits : 500 gms,149.0,,Biscuits & Cookies,biscuit,500 g,,,,,,,,,,,,,,,,,bisky bites vanilla magic sandwich biscuits : 500 gms,Biscuits & Cookies,biscuit
Dukes Bourbon Biscuits : 125 g,36.0,,Biscuits & Cookies,biscuit,125 g,,,,,,,,,,,,,,,,,dukes bourbon biscuits : 125 g,Biscuits & Cookies,biscuit
Cadbury Bournvita Biscuit Pack : 400 g,140.0,,Biscuits & Cookies,biscuit,400 g,,,,,,,,,,,,,,,,,cadbury bournvita biscuit pack : 400 g,Biscuits & Cookies,biscuit
Parle Hide & Seek Choco Rolls : 250 gms,170.0,,,,250 g,,,,,,,,,,,,,,,,,parle hide & seek choco rolls : 250 gms,Uncategorized,Uncategorized
Cadbury Oreo Strawberry Creme Flavoured Sandwich Biscuit : 108.55 g,30.0,,Biscuits & Cookies,biscuit,55 g,,,,,,,,,,,,,,,,,cadbury oreo strawberry creme flavoured sandwich biscuit : 108.55 g,Biscuits & Cookies,biscuit
Sunfeast Farmlite 5 Grain Digestive Biscuit : 800 gms,240.0,,Biscuits & Cookies,biscuit,800 g,,,,,,,,,,,,,,,,,sunfeast farmlite 5 grain digestive biscuit : 800 gms,Biscuits & Cookies,biscuit
Mcvitie's Digestive Biscuits : 959.1 gms,199.0,,Biscuits & Cookies,biscuit,1 g,,,,,,,,,,,,,,,,,mcvitie's digestive biscuits : 959.1 gms,Biscuits & Cookies,biscuit
Britannia Toastea Premium Bake Rusk : 400 gms,80.0,,,,400 g,,,,,,,,,,,,,,,,,britannia toastea premium bake rusk : 400 gms,Uncategorized,Uncategorized
Dukes Waffy Choco Roll : 250 gms,180.0,,,,250 g,,,,,,,,,,,,,,,,,dukes waffy choco roll : 250 gms,Uncategorized,Uncategorized
Dukes Waffy Strawberry Flavoured Wafer Biscuits : 60 gms,50.0,,Biscuits & Cookies,biscuit,60 g,,,,,,,,,,,,,,,,,dukes waffy strawberry flavoured wafer biscuits : 60 gms,Biscuits & Cookies,biscuit
Dukes Waffy Chocolate Flavoured Wafer Biscuits : 60 gms,50.0,,Biscuits & Cookies,biscuit,60 g,,,,,,,,,,,,,,,,,dukes waffy chocolate flavoured wafer biscuits : 60 gms,Biscuits & Cookies,biscuit
Dukes Waffy Vanilla Flavoured Wafer Biscuits : 60 gms,50.0,,Biscuits & Cookies,biscuit,60 g,,,,,,,,,,,,,,,,,dukes waffy vanilla flavoured wafer biscuits : 60 gms,Biscuits & Cookies,biscuit
Dukes Waffy Orange Flavoured Wafer Biscuits : 60 gms,50.0,,Biscuits & Cookies,biscuit,60 g,,,,,,,,,,,,,,,,,dukes waffy orange flavoured wafer biscuits : 60 gms,Biscuits & Cookies,biscuit
Dukes Waffy Pineapple Flavoured Wafer Biscuits : 60 gms,50.0,,Biscuits & Cookies,biscuit,60 g,,,,,,,,,,,,,,,,,dukes waffy pineapple flavoured wafer biscuits : 60 gms,Biscuits & Cookies,biscuit
Nova Nova Best Bite Gift Box : 150 g,399.0,,,,150 g,,,,,,,,,,,,,,,,,nova nova best bite gift box : 150 g,Uncategorized,Uncategorized
Nova Nova Sweet & Savoury Gift Box : 205 g,499.0,,Sweets,sweet,205 g,,,,,,,,,,,,,,,,,nova nova sweet & savoury gift box : 205 g,Sweets,sweet
Nova Nova Choco Pockets Gift Box : 180 g,399.0,,,,180 g,,,,,,,,,,,,,,,,,nova nova choco pockets gift box : 180 g,Uncategorized,Uncategorized
Threptin Biscuits Vanilla : 275 gms,499.0,,Biscuits & Cookies,biscuit,275 g,,,,,,,,,,,,,,,,,threptin biscuits vanilla : 275 gms,Biscuits & Cookies,biscuit
Unibic Oats Digestive Biscuits : 1 kg,300.0,,Biscuits & Cookies,biscuit,1 kg,,,,,,,,,,,,,,,,,unibic oats digestive biscuits : 1 kg,Biscuits & Cookies,biscuit
Britannia Nutri Choice 5 Grain Digestive Biscuits : 200 gms,75.0,,Biscuits & Cookies,biscuit,200 g,,,,,,,,,,,,,,,,,britannia nutri choice 5 grain digestive biscuits : 200 gms,Biscuits & Cookies,biscuit
Rajam Snacks Garlic Mixture : 800 gm,220.0,,Snacks & Munchies,snack,800 g,,,,,,,,,,,,,,,,,rajam snacks garlic mixture : 800 gm,Snacks & Munchies,snack
Bikaji Bhujia : 1 kg,330.0,,,,1 kg,,,,,,,,,,,,,,,,,bikaji bhujia : 1 kg,Uncategorized,Uncategorized
Bikaji Soya Sticks : 200 gms,80.0,,,,200 g,,,,,,,,,,,,,,,,,bikaji soya sticks : 200 gms,Uncategorized,Uncategorized
Peppy Cheese Balls : 60 gms,60.0,,,,60 g,,,,,,,,,,,,,,,,,peppy cheese balls : 60 gms,Grocery & Food,Dairy & Eggs
Kurkure Masala Munch : 75 g,20.0,,Snacks & Munchies,munch,75 g,,,,,,,,,,,,,,,,,kurkure masala munch : 75 g,Snacks & Munchies,munch
Haldiram's Soya Sticks : 400 gms,104.0,,,,400 g,,,,,,,,,,,,,,,,,haldiram's soya sticks : 400 gms,Uncategorized,Uncategorized
Peppy Tomato Discs : 60 gms,60.0,,Ketchup & Sauce,tomato,60 g,,,,,,,,,,,,,,,,,peppy tomato discs : 60 gms,Ketchup & Sauce,tomato
Kurkure Green Chutney Style : 68 g,20.0,,,,68 g,,,,,,,,,,,,,,,,,kurkure green chutney style : 68 g,Grocery & Food,Snacks & Beverages
Avni Cornflakes Chiwda : 150 gms,48.0,,,,150 g,,,,,,,,,,,,,,,,,avni cornflakes chiwda : 150 gms,Uncategorized,Uncategorized
Avni Sweet Namak Para : 150 gms,45.0,,Sweets,sweet,150 g,,,,,,,,,,,,,,,,,avni sweet namak para : 150 gms,Sweets,sweet
Avni Barik Sev : 150 gms,45.0,,Chocolates & Candies,bar,150 g,,,,,,,,,,,,,,,,,avni barik sev : 150 gms,Chocolates & Candies,bar
Haldiram's Bhel Puri Snacks Mix : 150 gms,70.0,,Snacks & Munchies,snack,150 g,,,,,,,,,,,,,,,,,haldiram's bhel puri snacks mix : 150 gms,Snacks & Munchies,snack
Avni Mixture : 150 gms,45.0,,,,150 g,,,,,,,,,,,,,,,,,avni mixture : 150 gms,Uncategorized,Uncategorized
Avni Diet Chiwda : 150 gms,45.0,,Health Food,diet,150 g,,,,,,,,,,,,,,,,,avni diet chiwda : 150 gms,Health Food,diet
Bingo Chilli Sprinkled Potato Chip : 85 g,50.0,,,,85 g,,,,,,,,,,,,,,,,,bingo chilli sprinkled potato chip : 85 g,Grocery & Food,Snacks & Beverages
Bingo Mad Angles Achaari Masti : 117 g,50.0,,,,117 g,,,,,,,,,,,,,,,,,bingo mad angles achaari masti : 117 g,Grocery & Food,Snacks & Beverages
Pringles Potato Chips - Sour Cream & Onion : 107 gms,120.0,,,,107 g,,,,,,,,,,,,,,,,,pringles potato chips - sour cream & onion : 107 gms,Grocery & Food,Snacks & Beverages
Lay's Classic Salted Potato Chips : 82 g,50.0,,,,82 g,,,,,,,,,,,,,,,,,lay's classic salted potato chips : 82 g,Grocery & Food,Snacks & Beverages
Pringles Potato Chips - Peri Peri : 102 gms,120.0,,,,102 g,,,,,,,,,,,,,,,,,pringles potato chips - peri peri : 102 gms,Grocery & Food,Snacks & Beverages
Pringles Potato Chips - Pizza Flavour : 102 gms,120.0,,,,102 g,,,,,,,,,,,,,,,,,pringles potato chips - pizza flavour : 102 gms,Grocery & Food,Snacks & Beverages
Bingo Mad Angles Very Peri Peri : 117 g,50.0,,,,117 g,,,,,,,,,,,,,,,,,bingo mad angles very peri peri : 117 g,Grocery & Food,Snacks & Beverages
Classic Banana Chips : 500 gms,230.0,,,,500 g,,,,,,,,,,,,,,,,,classic banana chips : 500 gms,Grocery & Food,Snacks & Beverages
Bingo No Rulz Masala Baked Curlz : 80 gms,50.0,,,,80 g,,,,,,,,,,,,,,,,,bingo no rulz masala baked curlz : 80 gms,Grocery & Food,Snacks & Beverages
Bingo Salt Sprinkled Potato Chips : 85 g,50.0,,,,85 g,,,,,,,,,,,,,,,,,bingo salt sprinkled potato chips : 85 g,Grocery & Food,Snacks & Beverages
Doritos Nacho Cheese Flavour : 153 gms,90.0,,,,153 g,,,,,,,,,,,,,,,,,doritos nacho cheese flavour : 153 gms,Grocery & Food,Dairy & Eggs
Too Yumm Style Cream & Onion Potato Chips : 82 g,50.0,,,,82 g,,,,,,,,,,,,,,,,,too yumm style cream & onion potato chips : 82 g,Grocery & Food,Dairy & Eggs
Too Yumm Kraze Masala Mischief : 75 g,60.0,,,,75 g,,,,,,,,,,,,,,,,,too yumm kraze masala mischief : 75 g,Grocery & Food,Pantry Essentials
Pringles Potato Chips - Desi Masala Tadka : 102 gms,120.0,,,,102 g,,,,,,,,,,,,,,,,,pringles potato chips - desi masala tadka : 102 gms,Grocery & Food,Snacks & Beverages
Lays Potato Chips - Sizzlin Hot : 48 gms,20.0,,,,48 g,,,,,,,,,,,,,,,,,lays potato chips - sizzlin hot : 48 gms,Grocery & Food,Snacks & Beverages
Too Yumm Indian Masala Potato Chips : 82 g,50.0,,,,82 g,,,,,,,,,,,,,,,,,too yumm indian masala potato chips : 82 g,Grocery & Food,Pantry Essentials
Lay's Wafer Style Potato Chips - Sundried Chilli : 48 gms,20.0,,,,48 g,,,,,,,,,,,,,,,,,lay's wafer style potato chips - sundried chilli : 48 gms,Grocery & Food,Snacks & Beverages
RiteBite Max Protein Peri Peri Chips : 60 gms,45.0,,,,60 g,,,,,,,,,,,,,,,,,ritebite max protein peri peri chips : 60 gms,Grocery & Food,Snacks & Beverages
Avni Banana Chips : 160 gms,74.0,,,,160 g,,,,,,,,,,,,,,,,,avni banana chips : 160 gms,Grocery & Food,Snacks & Beverages
Avni Masala Banana Chips : 180 gms,64.0,,,,180 g,,,,,,,,,,,,,,,,,avni masala banana chips : 180 gms,Grocery & Food,Pantry Essentials
Too Yumm Dahi Papdi Chaat Multigrain Chips : 65 gms,35.0,,,,65 g,,,,,,,,,,,,,,,,,too yumm dahi papdi chaat multigrain chips : 65 gms,Grocery & Food,Snacks & Beverages
Too Yumm Spicy Chilli Wafers : 82 g,50.0,,,,82 g,,,,,,,,,,,,,,,,,too yumm spicy chilli wafers : 82 g,Uncategorized,Uncategorized
Too Yumm Puffs Savage Masala : 75 gm,60.0,,,,67 g,,,,,,,,,,,,,,,,,too yumm puffs savage masala : 75 gm,Grocery & Food,Pantry Essentials
RiteBite Max Protein Spanish Tomato Chips : 60 gms,45.0,,Ketchup & Sauce,tomato,60 g,,,,,,,,,,,,,,,,,ritebite max protein spanish tomato chips : 60 gms,Ketchup & Sauce,tomato
Too Yumm Smoking Hot Bhoot Chips : 44 g,20.0,,,,45 g,,,,,,,,,,,,,,,,,too yumm smoking hot bhoot chips : 44 g,Grocery & Food,Snacks & Beverages
Mille Jowar Puffs - Magic Masala : 35 gm,39.0,,,,35 g,,,,,,,,,,,,,,,,,mille jowar puffs - magic masala : 35 gm,Grocery & Food,Pantry Essentials
Mille Jowar Puffs - Chatpata Treat : 35 gm,39.0,,,,35 g,,,,,,,,,,,,,,,,,mille jowar puffs - chatpata treat : 35 gm,Uncategorized,Uncategorized
Kurkure Masala Munch Namkeen : 94 g,30.0,,Snacks & Munchies,munch,94 g,,,,,,,,,,,,,,,,,kurkure masala munch namkeen : 94 g,Snacks & Munchies,munch
Jabsons Methi Khakhra : 180 gms,80.0,,,,180 g,,,,,,,,,,,,,,,,,jabsons methi khakhra : 180 gms,Uncategorized,Uncategorized
Bikaji Khatta Meetha Tana Bana : 1 kg,360.0,,,,,,,,,,,,,,,,,,,,,bikaji khatta meetha tana bana : 1 kg,Uncategorized,Uncategorized
Jabsons Bajra Methi Khakhra : 180 gms,100.0,,,,180 g,,,,,,,,,,,,,,,,,jabsons bajra methi khakhra : 180 gms,Uncategorized,Uncategorized
Jabsons Jeera Khakhra : 180 gms,80.0,,,,180 g,,,,,,,,,,,,,,,,,jabsons jeera khakhra : 180 gms,Uncategorized,Uncategorized
Makhanawala's Roasted Makhana (Foxnuts) Peri-Peri : 60 gm,150.0,,,,60 g,,,,,,,,,,,,,,,,,makhanawala's roasted makhana (foxnuts) peri-peri : 60 gm,Uncategorized,Uncategorized
Jabsons Chilly Garlic Khakhra : 180 gms,80.0,,,,180 g,,,,,,,,,,,,,,,,,jabsons chilly garlic khakhra : 180 gms,Uncategorized,Uncategorized
Jabsons Punjabi Masala Khakhra : 180 gms,80.0,,,,180 g,,,,,,,,,,,,,,,,,jabsons punjabi masala khakhra : 180 gms,Grocery & Food,Pantry Essentials
